clean_month,clean_hour,dimanche_ouvert,p_w_m2_mean,p_w_m2_std,p_w_m2_q20_norm,p_w_m2_q80_norm
Avril 2022,Mardi 12h,0,76.23490212660984,26.06421411849356,56.49457671744461,99.83133563379334
Avril 2022,Mardi 13h,1,75.90545985515561,25.591298429049854,56.56195870458504,99.09373038880032
Avril 2022,Mardi 13h,0,75.90545985515561,25.591298429049854,56.56195870458504,99.09373038880032
Avril 2022,Mardi 14h,1,75.68137885588865,24.980097942667477,56.8581346727713,98.34595941415091
Avril 2022,Mardi 14h,0,75.68137885588865,24.980097942667477,56.8581346727713,98.34595941415091
Avril 2022,Mardi 15h,1,75.28660046286195,24.108884662070775,57.20217301723627,97.20327757946212
Avril 2022,Mardi 15h,0,75.28660046286195,24.108884662070775,57.20217301723627,97.20327757946212
Avril 2022,Mardi 16h,1,74.9174536541816,22.906796493286024,57.85887476324028,95.80551199855076
Avril 2022,Mardi 16h,0,74.9174536541816,22.906796493286024,57.85887476324028,95.80551199855076
Avril 2022,Mardi 17h,1,74.40700347517098,21.41537699651648,58.61926136168287,94.01786981216098
Avril 2022,Mardi 17h,0,74.40700347517098,21.41537699651648,58.61926136168287,94.01786981216098
Avril 2022,Mardi 18h,1,64.37043433714206,22.478167860013244,47.29562506652976,84.69427230272619
Avril 2022,Mardi 18h,0,64.37043433714206,22.478167860013244,47.29562506652976,84.69427230272619
Avril 2022,Mardi 19h,1,46.469686747762054,18.150308471098295,32.48040444175632,62.77605270778985
Avril 2022,Mardi 19h,0,46.469686747762054,18.150308471098295,32.48040444175632,62.77605270778985
Avril 2022,Mardi 20h,1,42.22674730361889,15.538889107709462,30.33981134815621,56.233307765294256
Avril 2022,Mardi 20h,0,42.22674730361889,15.538889107709462,30.33981134815621,56.233307765294256
Avril 2022,Mardi 21h,1,41.011123947153614,15.209871544526338,29.36408694422975,54.71501696081381
Avril 2022,Mardi 21h,0,41.011123947153614,15.209871544526338,29.36408694422975,54.71501696081381
Avril 2022,Mardi 22h,1,40.72637388675415,15.29693172183958,28.993616007384226,54.498858850559515
Avril 2022,Mardi 22h,0,40.72637388675415,15.29693172183958,28.993616007384226,54.498858850559515
Avril 2022,Mardi 23h,1,40.48471490312885,14.88051773949761,29.10314668515525,53.898720217357
Avril 2022,Mardi 23h,0,40.48471490312885,14.88051773949761,29.10314668515525,53.898720217357
Avril 2022,Mercredi 0h,1,41.477802221641696,15.22781634663608,29.832366098031383,55.20579288732338
Avril 2022,Mercredi 0h,0,41.477802221641696,15.22781634663608,29.832366098031383,55.20579288732338
Avril 2022,Mercredi 1h,1,43.4033475393741,16.451426059218914,30.770540015936408,58.207752346719936
Avril 2022,Mercredi 1h,0,43.4033475393741,16.451426059218914,30.770540015936408,58.207752346719936
Avril 2022,Mercredi 2h,1,49.840747817080924,18.902309858173773,35.32489011649267,66.85012411016906
Avril 2022,Mercredi 2h,0,49.840747817080924,18.902309858173773,35.32489011649267,66.85012411016906
Avril 2022,Mercredi 3h,1,63.202659714803815,21.475137890130732,46.95229070622554,82.65191317992343
Avril 2022,Mercredi 3h,0,63.202659714803815,21.475137890130732,46.95229070622554,82.65191317992343
Avril 2022,Mercredi 4h,1,75.3873922430243,22.526137304482894,58.675187629310344,95.96084776091355
Avril 2022,Mercredi 4h,0,75.3873922430243,22.526137304482894,58.675187629310344,95.96084776091355
Avril 2022,Mercredi 5h,1,77.4773885906396,23.437987877096745,60.053407559919705,98.86542047005408
Avril 2022,Mercredi 5h,0,77.4773885906396,23.437987877096745,60.053407559919705,98.86542047005408
Avril 2022,Mercredi 6h,1,77.21887887092447,24.36395738335127,58.98477461809193,99.38896550900812
Avril 2022,Mercredi 6h,0,77.21887887092447,24.36395738335127,58.98477461809193,99.38896550900812
